"Company Name","Industry","Symbol","Series","ISIN Code"
"Edelweiss Financial Services Ltd.","FINANCE","EDELWEISS","EQ","INE532F01054"
"Educomp Solutions Ltd.","COMPUTERS - SOFTWARE","EDUCOMP","EQ","INE216H01027"
"Eicher Motors Ltd.","AUTOMOBILES - 4 WHEELERS","EICHERMOT","EQ","INE066A01013"
"Elder Pharmaceuticals Ltd.","PHARMACEUTICALS","ELDERPHARM","EQ","INE975A01015"
"Electrosteel Castings Ltd.","CASTINGS/FORGINGS","ELECTCAST","EQ","INE086A01029"
"Elgi Equipments Ltd.","COMPRESSORS / PUMPS","ELGIEQUIP","EQ","INE285A01027"
"Emami Ltd.","PERSONAL CARE","EMAMILTD","EQ","INE548C01032"
"Engineers India Ltd.","ENGINEERING","ENGINERSIN","EQ","INE510A01028"
"Entertainment Network India Ltd.","MEDIA & ENTERTAINMENT","ENIL","EQ","INE265F01028"
"Era Infra Engineering Ltd.","CONSTRUCTION","ERAINFRA","EQ","INE039E01020"
"Eros Intl Media Ltd.","MEDIA & ENTERTAINMENT","EROSMEDIA","EQ","INE416L01017"
"Escorts Ltd.","AUTOMOBILES - 4 WHEELERS","ESCORTS","EQ","INE042A01014"
"Essar Oil Ltd.","REFINERIES","ESSAROIL","EQ","INE011A01019"
"Essel Propack Ltd.","PACKAGING","ESSELPACK","EQ","INE255A01020"
"Exide Industries Ltd.","AUTO ANCILLARIES","EXIDEIND","EQ","INE302A01020"
"FDC Ltd.","PHARMACEUTICALS","FDC","EQ","INE258B01022"
"Fag Bearings India Ltd.","BEARINGS","FAGBEARING","EQ","INE513A01014"
"Federal Bank Ltd.","BANKS","FEDERALBNK","EQ","INE171A01011"
"Federal-Mogul Goetze (India) Ltd.","AUTO ANCILLARIES","FMGOETZE","EQ","INE529A01010"
"Financial Technologies (India) Ltd.","COMPUTERS - SOFTWARE","FINANTECH","EQ","INE111B01023"
"Finolex Cables Ltd.","CABLES - POWER","FINCABLES","EQ","INE235A01022"
"Finolex Industries Ltd.","PLASTIC AND PLASTIC PRODUCTS","FINPIPE","EQ","INE183A01016"
"Firstsource Solutions Ltd.","COMPUTERS - SOFTWARE","FSL","EQ","INE684F01012"
"Flexituff International Ltd.","PACKAGING","FLEXITUFF","EQ","INE060J01017"
"Fortis Healthcare Ltd.","MISCELLANEOUS","FORTIS","EQ","INE061F01013"
"Fresenius Kabi Oncology Ltd.","PHARMACEUTICALS","FKONCO","EQ","INE575G01010"
"Future Ventures India Ltd.","FINANCE","FUTUREVENT","EQ","INE220J01017"
"GAIL (India) Ltd.","GAS","GAIL","EQ","INE129A01019"
"GHCL Ltd.","CHEMICALS - INORGANIC","GHCL","EQ","INE539A01019"
"GMR Infrastructure Ltd.","CONSTRUCTION","GMRINFRA","EQ","INE776C01039"
"GOL Offshore Ltd.","OIL EXPLORATION/PRODUCTION","GTOFFSHORE","EQ","INE892H01017"
"GTL Ltd.","TELECOMMUNICATION - SERVICES","GTL","EQ","INE043A01012"
"GVK Power & Infrastructures Ltd.","POWER","GVKPIL","EQ","INE251H01024"
"Gammon India Ltd.","CONSTRUCTION","GAMMONIND","EQ","INE259B01020"
"Gammon Infrastructure Projects Ltd.","CONSTRUCTION","GAMMNINFRA","EQ","INE181G01025"
"Gateway Distriparks Ltd.","TRAVEL AND TRANSPORT","GDL","EQ","INE852F01015"
"Gati Ltd.","TRAVEL AND TRANSPORT","GATI","EQ","INE152B01027"
"Geojit BNP Paribas Financial Services Ltd.","FINANCE","GEOJITBNPP","EQ","INE007B01023"
"Geometric Ltd.","COMPUTERS - SOFTWARE","GEOMETRIC","EQ","INE797A01021"
"Gillette India Ltd.","PERSONAL CARE","GILLETTE","EQ","INE322A01010"
"Gitanjali Gems Ltd.","GEMS JEWELLERY AND WATCHES","GITANJALI","EQ","INE346H01014"
"GlaxoSmithkline Consumer Healthcare Ltd.","FOOD AND FOOD PROCESSING","GSKCONS","EQ","INE264A01014"
"Glaxosmithkline Pharmaceuticals Ltd.","PHARMACEUTICALS","GLAXO","EQ","INE159A01016"
"Glenmark Pharmaceuticals Ltd.","PHARMACEUTICALS","GLENMARK","EQ","INE935A01035"
"Godfrey Phillips India Ltd.","CIGARETTES","GODFRYPHLP","EQ","INE260B01010"
"Godrej Consumer Products Ltd.","PERSONAL CARE","GODREJCP","EQ","INE102D01028"
"Godrej Industries Ltd.","CHEMICALS - INORGANIC","GODREJIND","EQ","INE233A01035"
"Godrej Properties Ltd.","CONSTRUCTION","GODREJPROP","EQ","INE484J01019"
"Graphite India Ltd.","ELECTRODES","GRAPHITE","EQ","INE371A01025"
"Grasim Industries Ltd.","CEMENT AND CEMENT PRODUCTS","GRASIM","EQ","INE047A01013"
"Great Eastern Shipping Co. Ltd.","SHIPPING","GESHIP","EQ","INE017A01032"
"Greaves Cotton Ltd.","DIESEL ENGINES","GREAVESCOT","EQ","INE224A01026"
"Gujarat Alkalies & Chemicals Ltd.","CHEMICALS - INORGANIC","GUJALKALI","EQ","INE186A01019"
"Gujarat Fluorochemicals Ltd.","CHEMICALS - ORGANIC","GUJFLUORO","EQ","INE538A01037"
"Gujarat Gas Co. Ltd.","GAS","GUJRATGAS","EQ","INE374A01029"
"Gujarat Industries Power Co. Ltd.","POWER","GIPCL","EQ","INE162A01010"
"Gujarat Mineral Development Corporation Ltd.","MINING","GMDCLTD","EQ","INE131A01031"
"Gujarat NRE Coke Ltd.","MINING","GUJNRECOKE","EQ","INE110D01013"
"Gujarat Narmada Valley Fertilizers and Chemicals Ltd.","FERTILISERS","GNFC","EQ","INE113A01013"
"Gujarat Pipavav Port Ltd.","SHIPPING","GPPL","EQ","INE517F01014"
"Gujarat State Fertilizers & Chemicals Ltd.","FERTILISERS","GSFC","EQ","INE026A01025"
"Gujarat State Petronet Ltd.","GAS","GSPL","EQ","INE246F01010"
"H.E.G. Ltd.","ELECTRODES","HEG","EQ","INE545A01016"
"HCL Infosystems Ltd.","COMPUTERS - HARDWARE","HCL-INSYS","EQ","INE236A01020"
"HCL Technologies Ltd.","COMPUTERS - SOFTWARE","HCLTECH","EQ","INE860A01027"
"HDFC Bank Ltd.","BANKS","HDFCBANK","EQ","INE040A01026"
"HSIL Ltd.","PACKAGING","HSIL","EQ","INE415A01038"
"HT Media Ltd.","PRINTING AND PUBLISHING","HTMEDIA","EQ","INE501G01024"
"Hathway Cable & Datacom Ltd.","MEDIA & ENTERTAINMENT","HATHWAY","EQ","INE982F01028"
"Havell's India Ltd.","ELECTRICAL EQUIPMENT","HAVELLS","EQ","INE176B01026"
"Hero MotoCorp Ltd.","AUTOMOBILES - 2 AND 3 WHEELERS","HEROMOTOCO","EQ","INE158A01026"
"Hexaware Technologies Ltd.","COMPUTERS - SOFTWARE","HEXAWARE","EQ","INE093A01033"
"Himachal Fut Com Ltd.","TELECOMMUNICATION - EQUIPMENT","HFCL","EQ","INE548A01028"
"Himatsingka Seide Ltd.","TEXTILE PRODUCTS","HIMATSEIDE","EQ","INE049A01027"
"Hindalco Industries Ltd.","ALUMINIUM","HINDALCO","EQ","INE038A01020"
"Hindustan Construction Co. Ltd.","CONSTRUCTION","HCC","EQ","INE549A01026"
"Hindustan Oil Exploration Co. Ltd.","OIL EXPLORATION/PRODUCTION","HINDOILEXP","EQ","INE345A01011"
"Hindustan Petroleum Corporation Ltd.","REFINERIES","HINDPETRO","EQ","INE094A01015"
"Hindustan Unilever Ltd.","DIVERSIFIED","HINDUNILVR","EQ","INE030A01027"
"Hindustan Zinc Ltd.","METALS","HINDZINC","EQ","INE267A01025"
"Honeywell Automation India Ltd.","ELECTRONICS - INDUSTRIAL","HONAUT","EQ","INE671A01010"
"Hotel Leela Venture Ltd.","HOTELS","HOTELEELA","EQ","INE102A01024"
"Housing Development Finance Corporation Ltd.","FINANCE - HOUSING","HDFC","EQ","INE001A01036"
"Housing Development and Infrastructure Ltd.","CONSTRUCTION","HDIL","EQ","INE191I01012"
"Hubtown Ltd.","CONSTRUCTION","HUBTOWN","EQ","INE703H01016"
"I T C Ltd.","CIGARETTES","ITC","EQ","INE154A01025"
"ICICI Bank Ltd.","BANKS","ICICIBANK","EQ","INE090A01013"
"ICRA Ltd.","FINANCE","ICRA","EQ","INE725G01011"
"IDBI Bank Ltd.","BANKS","IDBI","EQ","INE008A01015"
"IDFC Ltd.","FINANCIAL INSTITUTION","IDFC","EQ","INE043D01016"
"IFCI Ltd.","FINANCIAL INSTITUTION","IFCI","EQ","INE039A01010"
"IL&FS Engineering and Construction Company Ltd.","CONSTRUCTION","IL&FSENGG","EQ","INE369I01014"
"ING Vysya Bank Ltd.","BANKS","INGVYSYABK","EQ","INE166A01011"
"IRB Infrastructure Developers Ltd.","CONSTRUCTION","IRB","EQ","INE821I01014"
"IVRCL Ltd.","CONSTRUCTION","IVRCLINFRA","EQ","INE875A01025"
"Idea Cellular Ltd.","TELECOMMUNICATION - SERVICES","IDEA","EQ","INE669E01016"
"Ind-Swift Laboratories Ltd.","PHARMACEUTICALS","INDSWFTLAB","EQ","INE915B01019"
"India Cements Ltd.","CEMENT AND CEMENT PRODUCTS","INDIACEM","EQ","INE383A01012"
"India Glycols Ltd.","CHEMICALS - ORGANIC","INDIAGLYCO","EQ","INE560A01015"
"India Infoline Ltd.","FINANCE","INDIAINFO","EQ","INE530B01024"
"Indiabulls Financial Services Ltd.","FINANCE","INDIABULLS","EQ","INE894F01025"
"Indiabulls Power Ltd.","POWER","IBPOW","EQ","INE399K01017"
"Indiabulls Real Estate Ltd.","CONSTRUCTION","IBREALEST","EQ","INE069I01010"
"Indiabulls Securities Ltd.","FINANCE","IBSEC","EQ","INE274G01010"
"Indian Bank","BANKS","INDIANB","EQ","INE562A01011"
"Indian Hotels Co. Ltd.","HOTELS","INDHOTEL","EQ","INE053A01029"
"Indian Oil Corporation Ltd.","REFINERIES","IOC","EQ","INE242A01010"
"Indian Overseas Bank ","BANKS","IOB","EQ","INE565A01014"
"Indo Rama Synthetics Ltd.","TEXTILES - SYNTHETIC","INDORAMA","EQ","INE156A01020"
"Indraprastha Gas Ltd.","GAS","IGL","EQ","INE203G01019"
"Indraprastha Medical Corporation Ltd.","MISCELLANEOUS","INDRAMEDCO","EQ","INE681B01017"
"IndusInd Bank Ltd.","BANKS","INDUSINDBK","EQ","INE095A01012"
"Info Edge (India) Ltd.","COMPUTERS - SOFTWARE","NAUKRI","EQ","INE663F01024"
"Infosys Ltd.","COMPUTERS - SOFTWARE","INFY","EQ","INE009A01021"
"Infotech Enterprises Ltd.","COMPUTERS - SOFTWARE","INFOTECENT","EQ","INE136B01020"
"Ingersoll Rand (India) Ltd.","COMPRESSORS / PUMPS","INGERRAND","EQ","INE177A01018"
"Innoventive Industries Ltd.","STEEL AND STEEL PRODUCTS","INNOIND","EQ","INE549I01011"
"Ipca Laboratories Ltd.","PHARMACEUTICALS","IPCALAB","EQ","INE571A01020"
"J.B. Chemicals & Pharmaceuticals Ltd.","PHARMACEUTICALS","JBCHEPHARM","EQ","INE572A01028"
"J.Kumar Infraprojects Ltd.","CONSTRUCTION","JKIL","EQ","INE576I01014"
"JBF Industries Ltd.","TEXTILES - SYNTHETIC","JBFIND","EQ","INE187A01017"
"JK Tyre & Industries Ltd..","TYRES","JKTYRE","EQ","INE573A01034"
"JM Financial Ltd.","FINANCE","JMFINANCIL","EQ","INE780C01023"
"JSW Energy Ltd.","POWER","JSWENERGY","EQ","INE121E01018"
"JSW ISPAT Steel Ltd.","STEEL AND STEEL PRODUCTS","JSWISPAT","EQ","INE136A01022"
"JSW Steel Ltd.","STEEL AND STEEL PRODUCTS","JSWSTEEL","EQ","INE019A01020"
"Jagran Prakashan Ltd.","PRINTING AND PUBLISHING","JAGRAN","EQ","INE199G01027"
"Jai Balaji Industries Ltd.","STEEL AND STEEL PRODUCTS","JAIBALAJI","EQ","INE091G01018"
"Jai Corp Ltd.","PLASTIC AND PLASTIC PRODUCTS","JAICORPLTD","EQ","INE070D01027"
"Jain Irrigation Systems Ltd.","PLASTIC AND PLASTIC PRODUCTS","JISLJALEQS","EQ","INE175A01038"
"Jaiprakash Associates Ltd.","CONSTRUCTION","JPASSOCIAT","EQ","INE455F01025"
"Jaiprakash Power Ventures Ltd.","POWER","JPPOWER","EQ","INE351F01018"
"Jammu & Kashmir Bank Ltd.","BANKS","J&KBANK","EQ","INE168A01017"
"Jaypee Infratech Ltd.","CONSTRUCTION","JPINFRATEC","EQ","INE099J01015"
"Jet Airways (India) Ltd.","TRAVEL AND TRANSPORT","JETAIRWAYS","EQ","INE802G01018"
"Jindal Poly Films Ltd.","PACKAGING","JINDALPOLY","EQ","INE197D01010"
"Jindal Saw Ltd.","STEEL AND STEEL PRODUCTS","JINDALSAW","EQ","INE324A01024"
"Jindal SouthWest Hold Ltd.","FINANCE","JINDALSWHL","EQ","INE824G01012"
"Jindal Stainless Ltd.","STEEL AND STEEL PRODUCTS","JSL","EQ","INE220G01021"
"Jindal Steel & Power Ltd.","STEEL AND STEEL PRODUCTS","JINDALSTEL","EQ","INE749A01030"
"Jubilant Foodworks Ltd.","FOOD AND FOOD PROCESSING","JUBLFOOD","EQ","INE797F01012"
"Jubilant Life Sciences Ltd.","PHARMACEUTICALS","JUBILANT","EQ","INE700A01033"
"Jyoti Structures Ltd.","TRANSMISSION TOWERS","JYOTISTRUC","EQ","INE197A01024"
"K.S. Oils Ltd.","SOLVENT EXTRACTION","KSOILS","EQ","INE727D01022"
"KCP Ltd.","CEMENT AND CEMENT PRODUCTS","KCP","EQ","INE805C01028"
"KPIT Cummins Infosystem Ltd.","COMPUTERS - SOFTWARE","KPIT","EQ","INE836A01035"
"KSB Pumps Ltd.","COMPRESSORS / PUMPS","KSBPUMPS","EQ","INE999A01015"
"KSK Energy Ventures Ltd","POWER","KSK","EQ","INE143H01015"
"Kajaria Ceramics Ltd.","CERAMICS AND SANITARYWARE","KAJARIACER","EQ","INE217B01028"
"Kalpataru Power Transmission Ltd.","TRANSMISSION TOWERS","KALPATPOWR","EQ","INE220B01022"
"Kansai Nerolac Paints Ltd.","PAINTS","KANSAINER","EQ","INE531A01016"
"Karnataka Bank Ltd.","BANKS","KTKBANK","EQ","INE614B01018"
"Karur Vysya Bank Ltd.","BANKS","KARURVYSYA","EQ","INE036D01010"
"Karuturi Global Ltd.","MISCELLANEOUS","KGL","EQ","INE299C01024"
"Kec International Ltd.","TRANSMISSION TOWERS","KEC","EQ","INE389H01022"
"Kemrock Industries and Exports Ltd.","PLASTIC AND PLASTIC PRODUCTS","KEMROCK","BE","INE990B01012"
"Kesoram Industries Ltd.","TYRES","KESORAMIND","EQ","INE087A01019"
"Kotak Mahindra Bank Ltd.","BANKS","KOTAKBANK","EQ","INE237A01028"
"Kwality Dairy (India) Ltd.","FOOD AND FOOD PROCESSING","KWALITY","EQ","INE775B01025"
"L&T Finance Holdings Ltd.","FINANCE","L&TFH","BE","INE498L01015"
"LIC Housing Finance Ltd.","FINANCE - HOUSING","LICHSGFIN","EQ","INE115A01026"
"Lakshmi Machine Works Ltd.","TEXTILE MACHINERY","LAXMIMACH","EQ","INE269B01029"
"Lakshmi Vilas Bank Ltd.","BANKS","LAKSHVILAS","EQ","INE694C01018"
"Lanco Infratech Ltd.","CONSTRUCTION","LITL","EQ","INE785C01048"
"Larsen & Toubro Ltd.","ENGINEERING","LT","EQ","INE018A01030"
"Lovable Lingerie Ltd.","TEXTILE PRODUCTS","LOVABLE","EQ","INE597L01014"
"Lupin Ltd.","PHARMACEUTICALS","LUPIN","EQ","INE326A01037"
"MOIL Ltd.","METALS","MOIL","EQ","INE490G01020"
"MRF Ltd.","TYRES","MRF","EQ","INE883A01011"
"MVL Ltd.","CONSTRUCTION","MVL","EQ","INE744I01034"
"Madras Cements Ltd.","CEMENT AND CEMENT PRODUCTS","MADRASCEM","EQ","INE331A01037"
"Mahanagar Telephone Nigam Ltd.","TELECOMMUNICATION - SERVICES","MTNL","EQ","INE153A01019"
"Maharashtra Seamless Ltd.","STEEL AND STEEL PRODUCTS","MAHSEAMLES","EQ","INE271B01025"
"Mahindra & Mahindra Financial Services Ltd.","FINANCE","M&MFIN","EQ","INE774D01016"
